building_id,city,area,community,complex,building
58,dubai,jumeirah village circle (jvc),jvc district 10,,signature livings
59,dubai,jumeirah village circle (jvc),jvc district 10,,signature livings
60,dubai,jumeirah village circle (jvc),jvc district 10,,oxford residence 2
61,dubai,jumeirah village circle (jvc),jvc district 10,,la perla homes 10
62,dubai,jumeirah village circle (jvc),jvc district 10,,noora residence
63,dubai,jumeirah village circle (jvc),jvc district 10,,park villas
64,dubai,jumeirah village circle (jvc),jvc district 10,,westar les castelets
65,dubai,jumeirah village circle (jvc),jvc district 10,,haven villas
66,dubai,jumeirah village circle (jvc),jvc district 10,,somerset mews
67,dubai,jumeirah village circle (jvc),jvc district 10,,solitaire casa
68,dubai,jumeirah village circle (jvc),jvc district 10,,the haven residences
69,dubai,jumeirah village circle (jvc),jvc district 10,,les maisonettes
70,dubai,jumeirah village circle (jvc),jvc district 10,,goldenwoods villas
71,dubai,jumeirah village circle (jvc),jvc district 10,,la riviera estate block d
72,dubai,jumeirah village circle (jvc),jvc district 10,,spica residential
73,dubai,jumeirah village circle (jvc),jvc district 10,,uniestate prime tower
74,sharjah,aljada,nesba,,nesba 2
75,sharjah,aljada,nesba,,nesba 1
76,dubai,jumeirah village circle (jvc),jvc district 10,,squarex residence
77,dubai,jumeirah village circle (jvc),jvc district 10,,bloom towers
78,dubai,jumeirah village circle (jvc),jvc district 10,,stonehenge residences
79,dubai,jumeirah village circle (jvc),jvc district 10,,binghatti heights
80,dubai,jumeirah village circle (jvc),jvc district 10,,la residenza
81,dubai,jumeirah village circle (jvc),jvc district 10,,luma 22
83,dubai,jumeirah village circle (jvc),jvc district 10,,the autograph
84,dubai,jumeirah village circle (jvc),jvc district 10,,binghatti house
85,dubai,jumeirah village circle (jvc),jvc district 10,,the manhattan
86,dubai,jumeirah village circle (jvc),jvc district 10,,riviera chalet
88,dubai,jumeirah village circle (jvc),jvc district 10,,may residence
89,dubai,jumeirah village circle (jvc),jvc district 10,,avanos residence
90,dubai,jumeirah village circle (jvc),jvc district 10,,tuscan residence
91,dubai,jumeirah village circle (jvc),jvc district 10,,oxford 212
92,dubai,jumeirah village circle (jvc),jvc district 10,,binghatti orchid
94,dubai,jumeirah village circle (jvc),jvc district 10,,binghatti mirage
95,dubai,jumeirah village circle (jvc),jvc district 10,,hanover square
96,dubai,jumeirah village circle (jvc),jvc district 10,,la riviera azure
97,dubai,jumeirah village circle (jvc),jvc district 10,,le grand chateau
99,dubai,jumeirah village circle (jvc),jvc district 10,,binghatti lavender
100,dubai,jumeirah village circle (jvc),jvc district 10,,signature livings
102,dubai,jumeirah village circle (jvc),jvc district 10,,la riviera apartments
103,dubai,jumeirah village circle (jvc),jvc district 10,,serenity lakes 5
104,dubai,jumeirah village circle (jvc),jvc district 10,,gateway by premier choice
105,dubai,jumeirah village circle (jvc),jvc district 10,,oxford residence 2
106,dubai,jumeirah village circle (jvc),jvc district 10,,plazzo heights
107,dubai,jumeirah village circle (jvc),jvc district 10,,marwa homes 4
108,dubai,jumeirah village circle (jvc),jvc district 10,,la perla homes 10
109,dubai,jumeirah village circle (jvc),jvc district 10,,park villas
110,dubai,jumeirah village circle (jvc),jvc district 10,,solitaire casa
111,dubai,jumeirah village circle (jvc),jvc district 10,,somerset mews
113,dubai,jumeirah village circle (jvc),jvc district 10,,the haven residences
114,dubai,jumeirah village circle (jvc),jvc district 10,,noora residence
115,dubai,jumeirah village circle (jvc),jvc district 10,,haven villas
116,dubai,jumeirah village circle (jvc),jvc district 10,,les maisonettes
117,dubai,jumeirah village circle (jvc),jvc district 10,,westar les castelets
120,dubai,jumeirah village circle (jvc),jvc district 10,,uniestate prime tower
121,dubai,jumeirah village circle (jvc),jvc district 14,,luma park views
122,dubai,jumeirah village circle (jvc),jvc district 14,,five jumeirah village
123,dubai,jumeirah village circle (jvc),jvc district 14,,lumina vista residences
124,dubai,jumeirah village circle (jvc),jvc district 14,,violet tower
125,dubai,jumeirah village circle (jvc),jvc district 14,,loci residences
126,dubai,jumeirah village circle (jvc),jvc district 14,,luma21
127,dubai,jumeirah village circle (jvc),jvc district 14,,emirates gardens 2
128,dubai,jumeirah village triangle (jvt),jvc district 14,,the one at jumeirah village circle
129,dubai,jumeirah village circle (jvc),jvc district 14,,o2 tower
130,dubai,jumeirah village circle (jvc),jvc district 14,,eleganz by danube
131,dubai,jumeirah village circle (jvc),jvc district 14,,park view tower
132,dubai,jumeirah village circle (jvc),jvc district 14,,belgravia square
133,dubai,jumeirah village circle (jvc),jvc district 14,,hyati avenue
134,dubai,jumeirah village circle (jvc),jvc district 13,,melody townhouses
135,dubai,jumeirah village circle (jvc),jvc district 13,,chaimaa avenue residences
136,dubai,jumeirah village circle (jvc),jvc district 13,,pearl house
137,dubai,jumeirah village circle (jvc),jvc district 13,,cappadocia
138,dubai,jumeirah village circle (jvc),jvc district 13,,orchidea residence
139,dubai,jumeirah village circle (jvc),jvc district 13,,sobha daffodil
140,dubai,jumeirah village circle (jvc),jvc district 13,,knightsbridge court
141,dubai,jumeirah village circle (jvc),jvc district 13,,indigo ville 3
142,dubai,jumeirah village circle (jvc),jvc district 13,,westar vista
143,dubai,jumeirah village circle (jvc),jvc district 13,,mulberry mansions
144,dubai,jumeirah village circle (jvc),jvc district 13,,chaimaa avenue 2
145,dubai,jumeirah village circle (jvc),jvc district 13,,marwa homes 2
146,dubai,jumeirah village circle (jvc),jvc district 13,,westar reflections
147,dubai,jumeirah village circle (jvc),jvc district 13,,dar al jawhara residence
148,dubai,jumeirah village circle (jvc),jvc district 13,,park corner
149,dubai,jumeirah village circle (jvc),jvc district 13,,la belle vue
150,dubai,jumeirah village circle (jvc),jvc district 13,,al waleed building
151,dubai,jumeirah village circle (jvc),jvc district 12,,v1ter residence
152,dubai,jumeirah village circle (jvc),jvc district 12,,the orchard place
153,dubai,jumeirah village circle (jvc),jvc district 12,,lucky oasis residence
154,dubai,jumeirah village circle (jvc),jvc district 12,,ra1n residence
155,dubai,jumeirah village circle (jvc),jvc district 12,,maison elysee
156,dubai,jumeirah village circle (jvc),jvc district 12,,avant garde residences by skyline
157,dubai,jumeirah village circle (jvc),jvc district 12,,q gardens lofts 2
158,dubai,jumeirah village circle (jvc),jvc district 12,,binghatti nova
159,dubai,jumeirah village circle (jvc),jvc district 12,,sapphire 32
160,dubai,jumeirah village circle (jvc),jvc district 12,,emirates gardens
161,dubai,jumeirah village circle (jvc),jvc district 12,,binghatti luna
162,dubai,jumeirah village circle (jvc),jvc district 12,,lilac park
163,dubai,jumeirah village circle (jvc),jvc district 13,,plaza residences
164,dubai,jumeirah village circle (jvc),jvc district 13,,binghatti phoenix
165,dubai,jumeirah village circle (jvc),jvc district 13,,ozone1 residence
166,dubai,jumeirah village circle (jvc),jvc district 13,,samana manhattan 1
167,dubai,jumeirah village circle (jvc),jvc district 13,,elitz 3 by danube
168,dubai,jumeirah village circle (jvc),jvc district 13,,levanto by oro24
169,dubai,jumeirah village circle (jvc),jvc district 13,,reef residence
170,dubai,jumeirah village circle (jvc),jvc district 13,,binghatti crest
171,dubai,jumeirah village circle (jvc),jvc district 13,,q gardens lofts
172,dubai,jumeirah village circle (jvc),jvc district 13,,samana waves
173,dubai,jumeirah village circle (jvc),jvc district 13,,avalon tower
174,dubai,jumeirah village circle (jvc),jvc district 13,,pantheon elysee i
175,dubai,jumeirah village circle (jvc),jvc district 11,,oakley square residence
176,dubai,jumeirah village circle (jvc),jvc district 11,,hadley heights
177,dubai,jumeirah village circle (jvc),jvc district 11,,binghatti amber
178,dubai,jumeirah village circle (jvc),jvc district 11,,terrazzo residences
179,dubai,jumeirah village circle (jvc),jvc district 11,,elitz by danube
180,dubai,jumeirah village circle (jvc),jvc district 11,,oxford terraces
181,dubai,jumeirah village circle (jvc),jvc district 11,,binghatti tulip
182,dubai,jumeirah village circle (jvc),jvc district 11,,binghatti gardenia
183,dubai,jumeirah village circle (jvc),jvc district 11,,maimoon gardens
184,dubai,jumeirah village circle (jvc),jvc district 11,,crystal residence
185,dubai,jumeirah village circle (jvc),jvc district 11,,binghatti galaxy
186,dubai,jumeirah village circle (jvc),jvc district 11,,diamond views iii
187,dubai,jumeirah village circle (jvc),jvc district 11,,concept 7 residences
188,dubai,jumeirah village circle (jvc),jvc district 11,,binghatti crescent
189,dubai,jumeirah village circle (jvc),jvc district 11,,fortunato
190,dubai,jumeirah village circle (jvc),jvc district 11,,diamond views iv
191,dubai,jumeirah village circle (jvc),jvc district 11,,city apartments
192,dubai,jumeirah village circle (jvc),jvc district 11,,astoria residence
193,dubai,jumeirah village circle (jvc),jvc district 11,,alcove
194,dubai,jumeirah village circle (jvc),jvc district 11,,casa grande
195,dubai,jumeirah village circle (jvc),jvc district 11,,pulse smart residence
196,dubai,jumeirah village circle (jvc),jvc district 11,,g24 tower
197,dubai,jumeirah village circle (jvc),jvc district 11,,oxford terraces 2
198,dubai,jumeirah village circle (jvc),jvc district 11,,diamond views ii
199,dubai,jumeirah village circle (jvc),jvc district 11,,aces chateau
200,dubai,jumeirah village circle (jvc),jvc district 11,,penta villas
201,dubai,jumeirah village circle (jvc),jvc district 11,,mirabella
202,dubai,jumeirah village circle (jvc),jvc district 11,,ag residence
203,dubai,jumeirah village circle (jvc),jvc district 11,,joya verde residences
204,dubai,jumeirah village circle (jvc),jvc district 11,,bluebell residence
205,dubai,jumeirah village circle (jvc),jvc district 11,, g 24 residence
206,dubai,jumeirah village circle (jvc),jvc district 11,,westar constellation villas
207,dubai,jumeirah village circle (jvc),jvc district 11,,sunset gardens
208,dubai,jumeirah village circle (jvc),jvc district 11,,comfy villas
209,dubai,jumeirah village circle (jvc),jvc district 11,,oakley square residence
210,dubai,jumeirah village circle (jvc),jvc district 11,,elitz by danube
211,dubai,jumeirah village circle (jvc),jvc district 11,,binghatti amber
212,dubai,jumeirah village circle (jvc),jvc district 11,,binghatti galaxy
213,dubai,jumeirah village circle (jvc),jvc district 11,,roma residences by jrp
214,dubai,jumeirah village circle (jvc),jvc district 11,,hadley heights
215,dubai,jumeirah village circle (jvc),jvc district 11,,oxford terraces
216,dubai,jumeirah village circle (jvc),jvc district 11,,maimoon gardens
217,dubai,jumeirah village circle (jvc),jvc district 11,,binghatti tulip
218,dubai,jumeirah village circle (jvc),jvc district 11,,terrazzo residences
219,dubai,jumeirah village circle (jvc),jvc district 11,,sky livings by peace homes
220,dubai,jumeirah village circle (jvc),jvc district 11,,binghatti gardenia
221,dubai,jumeirah village circle (jvc),jvc district 15,,seasons community
222,dubai,jumeirah village circle (jvc),jvc district 15,,binghatti emerald
223,dubai,jumeirah village circle (jvc),jvc district 15,,bloom heights
224,dubai,jumeirah village circle (jvc),jvc district 15,,stonehenge residences 2
225,dubai,jumeirah village circle (jvc),jvc district 15,,zaya hameni
226,dubai,jumeirah village circle (jvc),jvc district 15,,binghatti onyx
227,dubai,jumeirah village circle (jvc),jvc district 15,,beverly residence 2
228,dubai,jumeirah village circle (jvc),jvc district 15,,one park central
229,dubai,jumeirah village circle (jvc),jvc district 15,,pantheon elysee iii
230,dubai,jumeirah village circle (jvc),jvc district 15,,binghatti gate
231,dubai,jumeirah village circle (jvc),jvc district 15,,north 43
232,dubai,jumeirah village circle (jvc),jvc district 15,,laya mansion
233,dubai,jumeirah village circle (jvc),jvc district 15,,seasons community
234,dubai,jumeirah village circle (jvc),jvc district 15,,binghatti emerald
235,dubai,jumeirah village circle (jvc),jvc district 15,,binghatti onyx
237,dubai,jumeirah village circle (jvc),jvc district 15,,bloom heights
238,dubai,jumeirah village circle (jvc),jvc district 15,,beverly residence 2
239,dubai,jumeirah village circle (jvc),jvc district 15,,binghatti gate
240,dubai,jumeirah village circle (jvc),jvc district 15,,north 43
241,dubai,jumeirah village circle (jvc),jvc district 15,,marwa heights
242,dubai,jumeirah village circle (jvc),jvc district 15,,pantheon elysee iii
243,dubai,jumeirah village circle (jvc),jvc district 15,,hameni residence
244,dubai,jumeirah village circle (jvc),jvc district 15,,laya mansion
245,dubai,jumeirah village circle (jvc),jvc district 15,,mulberry park
246,dubai,jumeirah village circle (jvc),jvc district 15,,belgravia 3
247,dubai,jumeirah village circle (jvc),jvc district 15,,binghatti rose
248,dubai,jumeirah village circle (jvc),jvc district 15,,lotus park
249,dubai,jumeirah village circle (jvc),jvc district 15,,eaton place
250,dubai,jumeirah village circle (jvc),jvc district 15,,chaimaa premiere
251,dubai,jumeirah village circle (jvc),jvc district 15,,villa myra
252,dubai,jumeirah village circle (jvc),jvc district 15,,binghatti jasmine
253,dubai,jumeirah village circle (jvc),jvc district 15,,oxford boulevard
254,dubai,jumeirah village circle (jvc),jvc district 15,,artistic villas
255,dubai,jumeirah village circle (jvc),jvc district 15,,indigo ville 8
256,dubai,jumeirah village circle (jvc),jvc district 15,,sydney villas
257,dubai,jumeirah village circle (jvc),jvc district 15,,oxford villas
258,dubai,jumeirah village circle (jvc),jvc district 15,,valencia park
259,dubai,jumeirah village circle (jvc),jvc district 15,,casa royale
260,dubai,jumeirah village circle (jvc),jvc district 18,,cello residences
261,dubai,jumeirah village circle (jvc),jvc district 18,,damac ghalia
262,dubai,jumeirah village circle (jvc),jvc district 18,,tower 108
263,dubai,jumeirah village circle (jvc),jvc district 18,,sydney tower
264,dubai,jumeirah village circle (jvc),jvc district 18,,westwood grande
265,dubai,jumeirah village circle (jvc),jvc district 18,,dusit princess rijas
266,dubai,jumeirah village circle (jvc),jvc district 18,,elegance by chaimaa holding
267,dubai,jumeirah village circle (jvc),jvc district 18,,emerald tower
268,dubai,jumeirah village circle (jvc),jvc district 18,,grand heights
270,dubai,jumeirah village circle (jvc),jvc district 18,,sydney tower
271,dubai,jumeirah village circle (jvc),jvc district 18,,dusit princess rijas
272,dubai,jumeirah village circle (jvc),jvc district 18,,westwood grande
273,dubai,jumeirah village circle (jvc),jvc district 16,,aveline residences
274,dubai,jumeirah village circle (jvc),jvc district 16,,rise residences
275,dubai,jumeirah village circle (jvc),jvc district 16,,binghatti azure
276,dubai,jumeirah village circle (jvc),jvc district 16,,neva residences
277,dubai,jumeirah village circle (jvc),jvc district 16,,alef noon residence
279,dubai,jumeirah village circle (jvc),jvc district 16,,aveline residences
281,dubai,jumeirah village circle (jvc),jvc district 16,,binghatti azure
282,dubai,jumeirah village circle (jvc),jvc district 16,,neva residences
283,dubai,jumeirah village circle (jvc),jvc district 16,,the f1fth
284,dubai,jumeirah village circle (jvc),jvc district 16,,alef noon residence
285,dubai,jumeirah village circle (jvc),jvc district 16,,rooya townhouses
286,dubai,jumeirah village circle (jvc),jvc district 16,,the vybe
288,dubai,jumeirah village circle (jvc),jvc district 17,,the east crest
289,dubai,jumeirah village circle (jvc),jvc district 17,,marriott residences jvc
290,dubai,jumeirah village circle (jvc),jvc district 17,,milano by giovanni boutique suites
291,dubai,jumeirah village circle (jvc),jvc district 17,,empire residence
292,dubai,jumeirah village circle (jvc),jvc district 17,,dezire residences
293,dubai,jumeirah village circle (jvc),jvc district 17,,exotica by al marina
294,dubai,jumeirah village circle (jvc),jvc district 17,,7 park central
295,dubai,jumeirah village circle (jvc),jvc district 17,,binghatti phantom
296,dubai,jumeirah village circle (jvc),jvc district 17,,vita grande
297,dubai,jumeirah village circle (jvc),jvc district 17,,dune residency
298,dubai,jumeirah village circle (jvc),jvc district 17,,park boulevard
299,dubai,jumeirah village circle (jvc),jvc district 17,,the east crest
300,dubai,jumeirah village circle (jvc),jvc district 17,,marriott residences jvc
301,dubai,jumeirah village circle (jvc),jvc district 17,,empire residence
302,dubai,jumeirah village circle (jvc),jvc district 17,,binghatti phantom
303,dubai,jumeirah village circle (jvc),jvc district 17,,7 park central
304,dubai,jumeirah village circle (jvc),jvc district 17,,dezire residences
305,dubai,jumeirah village circle (jvc),jvc district 17,,dune residency
306,dubai,jumeirah village circle (jvc),jvc district 17,,park boulevard
307,dubai,jumeirah village circle (jvc),jvc district 17,,milano by giovanni boutique suites
308,dubai,jumeirah village circle (jvc),jvc district 17,,vita grande
310,dubai,business bay,aykon city,,aykon city tower b
311,dubai,business bay,aykon city,,safa two by de grisogono
313,dubai,business bay,peninsula,,peninsula four the plaza
314,dubai,business bay,peninsula,,peninsula three
315,dubai,business bay,peninsula,,peninsula one
316,dubai,business bay,peninsula,,peninsula two
317,dubai,business bay,peninsula,,peninsula five
318,dubai,business bay,peninsula,,peninsula five waterfront duplexes
319,dubai,business bay,damac towers by paramount hotels and resorts,,tower c
320,dubai,business bay,damac towers by paramount hotels and resorts,,tower b
321,dubai,business bay,damac towers by paramount hotels and resorts,,tower a
322,dubai,business bay,damac towers by paramount hotels and resorts,,tower d
323,dubai,business bay,al habtoor city,,al habtoor tower
324,dubai,business bay,al habtoor city,,amna
325,dubai,business bay,al habtoor city,,noora
326,dubai,business bay,damac maison prive,,damac maison prive tower a
327,dubai,business bay,damac maison prive,,damac maison prive tower b
328,dubai,business bay,the sterling,,the sterling east
329,dubai,business bay,the sterling,,the sterling west
330,dubai,business bay,executive towers,,executive tower b
331,dubai,business bay,executive towers,,executive tower g
332,dubai,business bay,executive towers,,executive tower m
333,dubai,business bay,executive towers,,executive tower c
334,dubai,business bay,executive towers,,executive tower j
335,dubai,business bay,executive towers,,executive tower k
336,dubai,business bay,executive towers,,executive tower f
337,dubai,business bay,executive towers,,executive tower h
338,dubai,business bay,executive towers,,executive tower l
339,dubai,business bay,executive towers,,executive tower e
340,dubai,business bay,the edge,,the edge tower a
342,dubai,business bay,canal crown,,canal crown tower 1
343,dubai,business bay,canal crown,,canal crown tower 2
344,dubai,business bay,bay square,,bay square 9
345,dubai,business bay,bay square,,bay square 2
346,dubai,business bay,bay square,,bay square 8
347,dubai,business bay,bay square,,bay square 12
348,dubai,business bay,bay square,,bay square 6
349,dubai,business bay,bay square,,bay square 10
350,dubai,business bay,bay square,,bay square 7
351,dubai,business bay,bay square,,bay square 11
352,dubai,business bay,bay square,,bay square 1
353,dubai,business bay,bay square,,bay square 13
354,dubai,business bay,the atria,,the atria residences
355,dubai,business bay,the atria,,millennium atria
356,dubai,business bay,15 northside,,15 northside tower 2
357,dubai,business bay,15 northside,,15 northside tower 1
358,dubai,business bay,capital bay towers,,capital bay tower a
359,dubai,business bay,capital bay towers,,capital bay tower b
360,dubai,business bay,aykon city,,damac maison aykon city
361,dubai,business bay,aykon city,,aykon city tower c
362,dubai,business bay,aykon city,,safa two by de grisogono
363,dubai,business bay,aykon city,,aykon city tower a
364,dubai,business bay,aykon city,,one b tower
365,dubai,business bay,peninsula,,peninsula four the plaza
366,dubai,business bay,peninsula,,peninsula one
367,dubai,business bay,peninsula,,peninsula three
368,dubai,business bay,peninsula,,peninsula two
369,dubai,business bay,peninsula,,peninsula five
370,dubai,business bay,peninsula,,peninsula five waterfront duplexes
371,dubai,business bay,j one,,j one tower a
372,dubai,business bay,j one,,j one tower b
373,dubai,business bay,al habtoor city,,al habtoor tower
374,dubai,business bay,al habtoor city,,noora
375,dubai,business bay,al habtoor city,,amna
376,dubai,business bay,al habtoor city,,meera tower
377,dubai,business bay,damac towers by paramount hotels and resorts,,tower b
378,dubai,business bay,damac towers by paramount hotels and resorts,,tower c
379,dubai,business bay,damac towers by paramount hotels and resorts,,tower a
380,dubai,business bay,damac towers by paramount hotels and resorts,,tower d
383,dubai,business bay,damac maison prive,,damac maison prive tower a
384,dubai,business bay,damac maison prive,,damac maison prive tower b
385,dubai,business bay,executive towers,,executive tower b
386,dubai,business bay,executive towers,,executive tower g
387,dubai,business bay,executive towers,,executive tower j
388,dubai,business bay,executive towers,,executive tower m (west heights 1)
389,dubai,business bay,executive towers,,executive tower c
390,dubai,business bay,executive towers,,executive tower k
391,dubai,business bay,executive towers,,executive tower f
392,dubai,business bay,executive towers,,executive tower l
393,dubai,business bay,executive towers,,executive tower h
394,dubai,business bay,executive towers,,plaza boutique
395,dubai,business bay,executive towers,,executive tower e
396,dubai,downtown dubai,opera district,,act one | act two towers
397,dubai,downtown dubai,opera district,,grande
398,dubai,downtown dubai,forte,,forte 1
399,dubai,downtown dubai,forte,,forte 2
400,dubai,downtown dubai,st. regis the residences,,st. regis the residences tower 1
401,dubai,downtown dubai,st. regis the residences,,st. regis the residences tower 2
402,dubai,downtown dubai,the address residences dubai opera,,the address residences dubai opera tower 2
403,dubai,downtown dubai,the address residences dubai opera,,the address residences dubai opera tower 1
404,dubai,downtown dubai,old town,,reehan
405,dubai,downtown dubai,old town,,yansoon
406,dubai,downtown dubai,old town,,miska
407,dubai,downtown dubai,old town,,zanzebeel
408,dubai,downtown dubai,old town,,kamoon
409,dubai,downtown dubai,old town,,zaafaran
410,dubai,downtown dubai,vida dubai mall,,vida dubai mall tower 1
411,dubai,downtown dubai,vida dubai mall,,vida dubai mall tower 2
412,dubai,downtown dubai,blvd heights,,blvd heights tower 1
413,dubai,downtown dubai,blvd heights,,blvd heights tower 2
415,dubai,downtown dubai,burj views,,burj views podium
416,dubai,downtown dubai,burj views,,burj views a
417,dubai,downtown dubai,burj views,,burj views c
418,dubai,downtown dubai,burj views,,burj views b
419,dubai,dubai marina,marina gate,,marina gate 2
420,dubai,dubai marina,marina gate,,marina gate 1
421,dubai,dubai marina,marina gate,,jumeirah living marina gate
422,dubai,dubai marina,marina promenade,,beauport
423,dubai,dubai marina,marina promenade,,paloma
424,dubai,dubai marina,marina promenade,,shemara
425,dubai,dubai marina,marina promenade,,aurora
426,dubai,dubai marina,marina promenade,,attessa
427,dubai,dubai marina,marina promenade,,delphine
428,dubai,palm jumeirah,the palm beach towers,,palm beach tower 3
429,dubai,palm jumeirah,the palm beach towers,,palm beach tower 1
430,dubai,palm jumeirah,the palm beach towers,,palm beach tower 2
431,dubai,palm jumeirah,the crescent,,the royal atlantis resort 
432,dubai,palm jumeirah,the crescent,,th8
433,dubai,palm jumeirah,the crescent,,kempinski palm residence
434,dubai,palm jumeirah,the crescent,,jumeirah zabeel saray
435,dubai,palm jumeirah,the crescent,,raffles the palm dubai
436,dubai,palm jumeirah,the crescent,,dream palm residence
437,dubai,palm jumeirah,the crescent,,muraba residence
438,dubai,palm jumeirah,the crescent,,one crescent
439,dubai,palm jumeirah,the crescent,,jumeirah zabeel saray the palm hotel
440,dubai,palm jumeirah,shoreline apartments,,al hallawi
441,dubai,palm jumeirah,shoreline apartments,,al msalli
442,dubai,palm jumeirah,shoreline apartments,,al basri
443,dubai,palm jumeirah,shoreline apartments,,al khushkar
444,dubai,palm jumeirah,shoreline apartments,,al haseer
445,dubai,palm jumeirah,shoreline apartments,,al hamri
446,dubai,palm jumeirah,shoreline apartments,,al tamr
447,dubai,palm jumeirah,shoreline apartments,,al shahla
448,dubai,palm jumeirah,shoreline apartments,,jash hamad
449,dubai,palm jumeirah,shoreline apartments,,al nabat
450,dubai,palm jumeirah,shoreline apartments,,al sultana
451,dubai,palm jumeirah,shoreline apartments,,al dabas
452,dubai,palm jumeirah,garden homes palm jumeirah,,garden homes frond o
453,dubai,palm jumeirah,garden homes palm jumeirah,,garden homes frond d
454,dubai,palm jumeirah,garden homes palm jumeirah,,garden homes frond m
455,dubai,palm jumeirah,garden homes palm jumeirah,,garden homes frond l
456,dubai,palm jumeirah,garden homes palm jumeirah,,garden homes frond c
457,dubai,palm jumeirah,garden homes palm jumeirah,,garden homes frond b
458,dubai,palm jumeirah,garden homes palm jumeirah,,garden homes frond a
459,dubai,palm jumeirah,garden homes palm jumeirah,,garden homes frond e
460,dubai,palm jumeirah,garden homes palm jumeirah,,garden homes frond p
461,dubai,palm jumeirah,garden homes palm jumeirah,,garden homes frond n
462,dubai,palm jumeirah,garden homes palm jumeirah,,garden homes frond k
463,dubai,palm jumeirah,garden homes palm jumeirah,,garden homes frond g
464,dubai,palm jumeirah,serenia living,,serenia living tower 1
465,dubai,palm jumeirah,serenia living,,serenia living tower 2
466,dubai,palm jumeirah,serenia living,,serenia living tower 3
467,dubai,palm jumeirah,serenia living,,serenia living tower 4
468,dubai,palm jumeirah,marina residences,,marina residences 6
469,dubai,palm jumeirah,marina residences,,marina residences 4
470,dubai,palm jumeirah,marina residences,,marina residences 2
471,dubai,palm jumeirah,marina residences,,marina residences 1
472,dubai,palm jumeirah,marina residences,,marina residences 3
473,dubai,palm jumeirah,marina residences,,marina residences 5
474,dubai,palm jumeirah,royal amwaj residences,,royal amwaj residences - north
475,dubai,palm jumeirah,royal amwaj residences,,royal amwaj residences - south
476,dubai,palm jumeirah,golden mile,,golden mile 1
